MPIO_CNMBR,DEPTO
ARBOLEDAS,NORTE DE SANTANDER
BOCHALEMA,NORTE DE SANTANDER
BUCARASICA,NORTE DE SANTANDER
CACOTA,NORTE DE SANTANDER
CACHIRA,NORTE DE SANTANDER
CHINACOTA,NORTE DE SANTANDER
CUCUTILLA,NORTE DE SANTANDER
DURANIA,NORTE DE SANTANDER
EL ZULIA,NORTE DE SANTANDER
GRAMALOTE,NORTE DE SANTANDER
HACARI,NORTE DE SANTANDER
HERRAN,NORTE DE SANTANDER
LABATECA,NORTE DE SANTANDER
LA ESPERANZA,NORTE DE SANTANDER
LA PLAYA,NORTE DE SANTANDER
LOS PATIOS,NORTE DE SANTANDER
LOURDES,NORTE DE SANTANDER
MUTISCUA,NORTE DE SANTANDER
OCAÑA,NORTE DE SANTANDER
PAMPLONA,NORTE DE SANTANDER
PAMPLONITA,NORTE DE SANTANDER
PUERTO SANTANDER,NORTE DE SANTANDER
RAGONVALIA,NORTE DE SANTANDER
SALAZAR,NORTE DE SANTANDER
SAN CALIXTO,NORTE DE SANTANDER
SAN CAYETANO,NORTE DE SANTANDER
SANTIAGO,NORTE DE SANTANDER
SARDINATA,NORTE DE SANTANDER
SILOS,NORTE DE SANTANDER
VILLA CARO,NORTE DE SANTANDER
VILLA DEL ROSARIO,NORTE DE SANTANDER
CHITAGA,NORTE DE SANTANDER
CONVENCION,NORTE DE SANTANDER
EL CARMEN,NORTE DE SANTANDER
TEORAMA,NORTE DE SANTANDER
TIBU,NORTE DE SANTANDER
TOLEDO,NORTE DE SANTANDER
EL TARRA,NORTE DE SANTANDER
BOGOTA,BOGOTA
VILLAVICENCIO,META
ACACIAS,META
BARRANCA DE UPIA,META
CABUYARO,META
CASTILLA LA NUEVA,META
SAN LUIS DE CUBARRAL,META
CUMARAL,META
EL CALVARIO,META
EL CASTILLO,META
EL DORADO,META
FUENTE DE ORO,META
GRANADA,META
GUAMAL,META
MESETAS,META
LA URIBE,META
LEJANIAS,META
PUERTO CONCORDIA,META
PUERTO LOPEZ,META
PUERTO LLERAS,META
PUERTO RICO,META
RESTREPO,META
SAN CARLOS GUAROA,META
SAN JUAN DE ARAMA,META
SAN JUANITO,META
SAN MARTIN,META
VISTA HERMOSA,META
LA MACARENA,META
MAPIRIPAN,META
PUERTO GAITAN,META
NEIVA,HUILA
GIGANTE,HUILA
GUADALUPE,HUILA
HOBO,HUILA
IQUIRA,HUILA
ISNOS,HUILA
LA ARGENTINA,HUILA
LA PLATA,HUILA
NATAGA,HUILA
OPORAPA,HUILA
PAICOL,HUILA
PALERMO,HUILA
PALESTINA,HUILA
PITAL,HUILA
PITALITO,HUILA
RIVERA,HUILA
SALADOBLANCO,HUILA
SAN AGUSTIN,HUILA
SANTA MARIA,HUILA
SUAZA,HUILA
TARQUI,HUILA
TESALIA,HUILA
TELLO,HUILA
TERUEL,HUILA
TIMANA,HUILA
VILLAVIEJA,HUILA
YAGUARA,HUILA
GARZON,HUILA
ELIAS,HUILA
COLOMBIA,HUILA
CAMPOALEGRE,HUILA
BARAYA,HUILA
ALTAMIRA,HUILA
ALGECIRAS,HUILA
AIPE,HUILA
AGRADO,HUILA
ACEVEDO,HUILA
AGUADA,SANTANDER
ALBANIA,SANTANDER
ARATOCA,SANTANDER
BARBOSA,SANTANDER
BARICHARA,SANTANDER
BARRANCABERMEJA,SANTANDER
BETULIA,SANTANDER
CABRERA,SANTANDER
CALIFORNIA,SANTANDER
CAPITANEJO,SANTANDER
CARCASI,SANTANDER
CEPITA,SANTANDER
CERRITO,SANTANDER
CHARALA,SANTANDER
CHARTA,SANTANDER
CHIMA,SANTANDER
CHIPATA,SANTANDER
CIMITARRA,SANTANDER
CONCEPCION,SANTANDER
CONFINES,SANTANDER
RIONEGRO,SANTANDER
SABANA DE TORRES,SANTANDER
SAN ANDRES,SANTANDER
SAN BENITO,SANTANDER
SAN GIL,SANTANDER
SAN JOAQUIN,SANTANDER
SAN JOSE DE MIRANDA,SANTANDER
SAN MIGUEL,SANTANDER
SAN VICENTE DE CHUCURI,SANTANDER
SANTA BARBARA,SANTANDER
SANTA HELENA DEL OPON,SANTANDER
SIMACOTA,SANTANDER
SOCORRO,SANTANDER
SUAITA,SANTANDER
SUCRE,SANTANDER
SURATA,SANTANDER
TONA,SANTANDER
VALLE DE SAN JOSE,SANTANDER
VELEZ,SANTANDER
VETAS,SANTANDER
VILLANUEVA,SANTANDER
ZAPATOCA,SANTANDER
JORDAN,SANTANDER
LA BELLEZA,SANTANDER
LANDAZURI,SANTANDER
LA PAZ,SANTANDER
LEBRIJA,SANTANDER
LOS SANTOS,SANTANDER
MACARAVITA,SANTANDER
MALAGA,SANTANDER
MATANZA,SANTANDER
MOGOTES,SANTANDER
MOLAGAVITA,SANTANDER
OCAMONTE,SANTANDER
OIBA,SANTANDER
ONZAGA,SANTANDER
PALMAR,SANTANDER
PALMAS DEL SOCORRO,SANTANDER
PARAMO,SANTANDER
PINCHOTE,SANTANDER
PUENTE NACIONAL,SANTANDER
PUERTO PARRA,SANTANDER
PUERTO WILCHES,SANTANDER
CONTRATACION,SANTANDER
COROMORO,SANTANDER
CURITI,SANTANDER
EL CARMEN DE CHUCURI,SANTANDER
EL GUACAMAYO,SANTANDER
EL PLAYON,SANTANDER
ENCINO,SANTANDER
ENCISO,SANTANDER
FLORIAN,SANTANDER
GALAN,SANTANDER
GAMBITA,SANTANDER
GUACA,SANTANDER
GUADALUPE,SANTANDER
GUAPOTA,SANTANDER
GUAVATA,SANTANDER
GUEPSA,SANTANDER
HATO,SANTANDER
JESUS MARIA,SANTANDER
GIRON,SANTANDER
FLORIDABLANCA,SANTANDER
BOLIVAR,SANTANDER
EL PEÑON,SANTANDER
PIEDECUESTA,SANTANDER
BUCARAMANGA,SANTANDER
IBAGUE,TOLIMA
ALPUJARRA,TOLIMA
ALVARADO,TOLIMA
AMBALEMA,TOLIMA
ANZOATEGUI,TOLIMA
ARMERO,TOLIMA
ATACO,TOLIMA
CAJAMARCA,TOLIMA
CARMEN DE APICALA,TOLIMA
CASABIANCA,TOLIMA
CHAPARRAL,TOLIMA
COELLO,TOLIMA
COYAIMA,TOLIMA
CUNDAY,TOLIMA
DOLORES,TOLIMA
ESPINAL,TOLIMA
FALAN,TOLIMA
FLANDES,TOLIMA
FRESNO,TOLIMA
GUAMO,TOLIMA
HERVEO,TOLIMA
ICONONZO,TOLIMA
LERIDA,TOLIMA
LIBANO,TOLIMA
MARIQUITA,TOLIMA
MELGAR,TOLIMA
MURILLO,TOLIMA
NATAGAIMA,TOLIMA
ORTEGA,TOLIMA
PALOCABILDO,TOLIMA
PIEDRAS,TOLIMA
PLANADAS,TOLIMA
PRADO,TOLIMA
PURIFICACION,TOLIMA
RIOBLANCO,TOLIMA
RONCESVALLES,TOLIMA
ROVIRA,TOLIMA
SALDAÑA,TOLIMA
SAN ANTONIO,TOLIMA
SAN LUIS,TOLIMA
SANTA ISABEL,TOLIMA
SUAREZ,TOLIMA
VALLE DE SAN JUAN,TOLIMA
VENADILLO,TOLIMA
VILLAHERMOSA,TOLIMA
VILLARRICA,TOLIMA
HATILLO DE LOBA,BOLIVAR
SAN FERNANDO,BOLIVAR
MAGANGUE,BOLIVAR
GIRARDOT,CUNDINAMARCA
SOACHA,CUNDINAMARCA
CHIA,CUNDINAMARCA
EL ROSAL,CUNDINAMARCA
MOSQUERA,CUNDINAMARCA
SIBATE,CUNDINAMARCA
FUSAGASUGA,CUNDINAMARCA
SAN JUAN DE RIO SECO,CUNDINAMARCA
HONDA,TOLIMA
SABANETA,ANTIOQUIA
LA ESTRELLA,ANTIOQUIA
